# x, diffusivity, rel diff, damping coeff
1.000036078938865103e+01,2.385418013921547786e-06,1.927090069607739409e+01,4.638928906181116751e-03
2.000036078938865103e+01,2.180689254371673737e-06,9.034462718583691654e+00,9.143137190050443230e-03
3.000036078938865103e+01,2.114527619450926210e-06,5.726380972546315284e+00,1.362599344602966056e-02
4.000036078938865103e+01,2.081880741634597765e-06,4.094037081729892336e+00,1.808771531579711489e-02
5.000036078938865103e+01,2.062446298238840805e-06,3.122314911942044802e+00,2.252847764124199514e-02
6.000036078938865103e+01,2.049565282644974813e-06,2.478264132248745533e+00,2.694816211770334480e-02
7.000036078938865103e+01,2.040416186457940777e-06,2.020809322897043625e+00,3.134710332803258837e-02
8.000036078938865103e+01,2.033588395834238768e-06,1.679419791711942889e+00,3.572524415220834637e-02
9.000036078938865103e+01,2.028303664379663329e-06,1.415183218983171010e+00,4.008274329925143320e-02
1.000003607893886510e+02,2.024096744359621252e-06,1.204837217981067132e+00,4.441970390704597094e-02
1.100003607893886510e+02,2.020672959349227702e-06,1.033647967461389650e+00,4.873621183623322306e-02
1.200003607893886510e+02,2.017835428261287383e-06,8.917714130643736858e-01,5.303231502334260217e-02
1.300003607893886510e+02,2.015446334980297436e-06,7.723167490148763470e-01,5.730825333174816016e-02
1.400003607893886510e+02,2.013410724167373717e-06,6.705362083686904340e-01,6.156400250252813677e-02
1.500003607893886510e+02,2.011660826863978404e-06,5.830413431989247552e-01,6.579962546410467183e-02
1.600003607893886510e+02,2.010136114548335207e-06,5.068057274167648840e-01,7.001540222442970141e-02
1.700003607893886510e+02,2.008802832472859787e-06,4.401416236429939177e-01,7.421122150343928414e-02
1.800003607893886510e+02,2.007627577364218275e-06,3.813788682109182648e-01,7.838730764929113803e-02
1.900003607893886510e+02,2.006581428028174808e-06,3.290714014087449124e-01,8.254368673655931854e-02
2.000003607893886510e+02,2.005648935676313104e-06,2.824467838156597410e-01,8.668051081594541074e-02
2.100003607893886510e+02,2.004812182341278248e-06,2.406091170639169108e-01,9.079780208330368030e-02
2.200003607893886510e+02,2.004060288559816303e-06,2.030144279908197014e-01,9.489576007058875273e-02
2.300003607893886510e+02,2.003379930815367462e-06,1.689965407683776122e-01,9.897435876173743541e-02
2.400003607893886510e+02,2.002762357844205388e-06,1.381178922102739293e-01,1.030337907686376120e-01
2.500003607893886510e+02,2.002199605970248519e-06,1.099802985124304772e-01,1.070740469256056260e-01
2.600003607893886510e+02,2.001686284609620246e-06,8.431423048101681361e-02,1.110954218465342036e-01
2.700003607893886510e+02,2.001216253287505411e-06,6.081266437527509117e-02,1.150976751281307386e-01
2.800003607893886510e+02,2.000785977658573016e-06,3.929888292865533345e-02,1.190812100474968327e-01
2.900003607893886510e+02,2.000390041468998038e-06,1.950207344990640551e-02,1.230459068263273226e-01
3.000003607893886510e+02,2.000026546119516204e-06,1.327305975814715468e-03,1.269920757572853276e-01
3.100003607893886510e+02,1.999690680461315491e-06,1.546597693422093953e-02,1.309195492751150658e-01
3.200003607893886510e+02,1.999379795883076262e-06,3.101020584618238360e-02,1.348286472350539444e-01
3.300003607893886510e+02,1.999092135410353163e-06,4.539322948233733002e-02,1.387192168977252615e-01
3.400003607893886510e+02,1.998826244696649599e-06,5.868776516751553207e-02,1.425915954902481353e-01
3.500003607893886510e+02,1.998578213673582910e-06,7.108931632084998509e-02,1.464455659536395560e-01
3.600003607893886510e+02,1.998347579209966236e-06,8.262103950168368793e-02,1.502815223728642957e-01
3.700003607893886510e+02,1.998135075528873660e-06,9.324622355631248527e-02,1.540995079178527627e-01
3.800003607893886510e+02,1.997936578560290149e-06,1.031710719854879998e-01,1.578994864039068302e-01
3.900003607893886510e+02,1.997752249294245333e-06,1.123875352877287959e-01,1.616815148820441861e-01
4.000003607893886510e+02,1.997579238682198231e-06,1.210380658900839373e-01,1.654457266261812887e-01
4.100003607893886510e+02,1.997419497627779769e-06,1.290251186110070170e-01,1.691923652287075086e-01
4.200003607893886510e+02,1.997269620319591713e-06,1.365189840204098226e-01,1.729212488448923501e-01
4.300003607893886510e+02,1.997131128029786925e-06,1.434435985106492228e-01,1.766327024215809116e-01
4.400003607893886510e+02,1.997001106371676883e-06,1.499446814161513319e-01,1.803266207900381390e-01
4.500003607893886510e+02,1.996879223867241471e-06,1.560388066379219396e-01,1.840031927145803214e-01
4.600003607893886510e+02,1.996765935918250925e-06,1.617032040874492038e-01,1.876624717793646813e-01
4.700003607893886510e+02,1.996660595328289404e-06,1.669702335855252628e-01,1.913045856224828700e-01
4.800003607893886510e+02,1.996562766006756260e-06,1.718616996621824822e-01,1.949295146488515540e-01
4.900003607893886510e+02,1.996471915949225508e-06,1.764042025387200785e-01,1.985375374137260396e-01
5.000003607893886510e+02,1.996385730608707701e-06,1.807134695646104294e-01,2.021283857358768810e-01
5.100003607893886510e+02,1.996306242265787755e-06,1.846878867106077071e-01,2.057024895271093445e-01
5.200003607893886510e+02,1.996231583556306200e-06,1.884208221846855047e-01,2.092596646076099187e-01
5.300003607893886510e+02,1.996163038287207284e-06,1.918480856396312662e-01,2.128002831447586285e-01
5.400003607893886510e+02,1.996098954830494686e-06,1.950522584752611699e-01,2.163241039594231419e-01
5.500003607893886510e+02,1.996039841160076976e-06,1.980079419961467135e-01,2.198314285999387607e-01
5.600003607893886510e+02,1.995984163809549486e-06,2.007918095225211808e-01,2.233222871801672227e-01
5.700003607893886510e+02,1.995934122465744166e-06,2.032938767127871749e-01,2.267966919080383059e-01
5.800003607893886510e+02,1.995887354343476410e-06,2.056322828261749613e-01,2.302547378501553776e-01
5.900003607893886510e+02,1.995843876306146441e-06,2.078061846926733958e-01,2.336964107105761190e-01
6.000003607893886510e+02,1.995803885476553470e-06,2.098057261723219880e-01,2.371221206579393614e-01
6.100003607893886510e+02,1.995768145789660842e-06,2.115927105169533862e-01,2.405316938822562589e-01
6.200003607893886510e+02,1.995734956999232455e-06,2.132521500383727231e-01,2.439251230462607944e-01
6.300003607893886510e+02,1.995704962092712213e-06,2.147518953643847983e-01,2.473027899347391978e-01
6.400003607893886510e+02,1.995676572011247267e-06,2.161713994376321391e-01,2.506644574041466678e-01
6.500003607893886510e+02,1.995651299699336507e-06,2.174350150331701426e-01,2.540103079299058653e-01
6.600003607893886510e+02,1.995643021649971680e-06,2.178489175014114709e-01,2.573405321243213972e-01
6.700003607893886510e+02,1.995622871423330613e-06,2.188564288334648444e-01,2.606550569126986350e-01
6.800003607893886510e+02,1.995605246843790267e-06,2.197376578104821010e-01,2.639540126247557073e-01
6.900003607893886510e+02,1.995589441538791439e-06,2.205279230604235419e-01,2.672374635337650961e-01
7.000003607893886510e+02,1.995576183004889607e-06,2.211908497555150899e-01,2.705055368106212832e-01
7.100003607893886510e+02,1.995565041410007283e-06,2.217479294996313466e-01,2.737581543638372139e-01
7.200003607893886510e+02,1.995554631530948484e-06,2.222684234525713065e-01,2.769954522846757028e-01
7.300003607893886510e+02,1.995546217872389766e-06,2.226891063805071791e-01,2.802176288885979138e-01
7.400003607893886510e+02,1.995539538162093577e-06,2.230230918953166330e-01,2.834245950465713593e-01
7.500003607893886510e+02,1.995534106957644486e-06,2.232946521177711641e-01,2.866164505199104706e-01
7.600003607893886510e+02,1.995531036832683073e-06,2.234481583658418369e-01,2.897934102922601340e-01
7.700003607893886510e+02,1.995529204588763126e-06,2.235397705618391850e-01,2.929553946133778286e-01
7.800003607893886510e+02,1.995530219622337370e-06,2.234890188831269997e-01,2.961025147175032624e-01
7.900003607893886510e+02,1.995531154906104528e-06,2.234422546947690547e-01,2.992348348984666950e-01
8.000003607893886510e+02,1.995538113584300980e-06,2.230943207849464538e-01,3.023524379472239954e-01
8.100003607893886510e+02,1.995540917682330228e-06,2.229541158834840997e-01,3.054554066666040901e-01
8.200003607893886510e+02,1.995545202705722081e-06,2.227398647138914278e-01,3.085437798427965728e-01
8.300003607893886510e+02,1.995550677173202693e-06,2.224661413398608401e-01,3.116176111743816923e-01
8.400003607893886510e+02,1.995558959891552886e-06,2.220520054223512063e-01,3.146770710131375770e-01
8.500003607893886510e+02,1.995566313392406317e-06,2.216843303796795783e-01,3.177220797124818974e-01
8.600003607893886510e+02,1.995574904576959903e-06,2.212547711520003180e-01,3.207527598699000393e-01
8.700003607893886510e+02,1.995583819591242407e-06,2.208090204378751475e-01,3.237691843964797256e-01
8.800003607893886510e+02,1.995592923319108923e-06,2.203538340445493626e-01,3.267713644546847984e-01
8.900003607893886510e+02,1.995603695834241439e-06,2.198152082879235580e-01,3.297595694721279225e-01
9.000003607893886510e+02,1.995615259467790865e-06,2.192370266104521903e-01,3.327336490763465049e-01
9.100003607893886510e+02,1.995652949796364823e-06,2.173525101817543603e-01,3.356937811936102634e-01
9.200003607893886510e+02,1.995665817265342172e-06,2.167091367328868590e-01,3.386400334686002767e-01
9.300003607893886510e+02,1.995680111041427713e-06,2.159944479286098618e-01,3.415723333353186675e-01
9.400003607893886510e+02,1.995693666212442119e-06,2.153166893778895308e-01,3.444908940178406098e-01
9.500003607893886510e+02,1.995708563954304214e-06,2.145718022847847850e-01,3.473957065224166918e-01
9.600003607893886510e+02,1.995724215526330679e-06,2.137892236834615101e-01,3.502869210924266508e-01
9.700003607893886510e+02,1.995740490104004561e-06,2.129754947997674064e-01,3.531645466910028341e-01
9.800003607893886510e+02,1.995756599364073207e-06,2.121700317963351734e-01,3.560285581213686878e-01
9.900003607893886510e+02,1.995773862852329726e-06,2.113068573835091835e-01,3.588791103646137293e-01
1.000000360789388651e+03,1.995791264325101077e-06,2.104367837449415968e-01,3.617162531396627134e-01
1.010000360789388651e+03,1.995809331443602256e-06,2.095334278198826838e-01,3.645401464204276465e-01
1.020000360789388651e+03,1.995827374392241054e-06,2.086312803879427635e-01,3.673506894134217493e-01
1.030000360789388651e+03,1.995845712448164528e-06,2.077143775917690838e-01,3.701480375906462950e-01
1.040000360789388651e+03,1.995864727833663671e-06,2.067636083168119532e-01,3.729322260526078958e-01
1.050000360789388651e+03,1.995884093621809454e-06,2.057953189095227675e-01,3.757033499237083518e-01
1.060000360789388651e+03,1.995903778358118931e-06,2.048110820940489407e-01,3.784613020118076099e-01
1.070000360789388651e+03,1.995923931044492854e-06,2.038034477753527529e-01,3.812064701765008889e-01
1.080000360789388651e+03,1.995944318810114868e-06,2.027840594942520447e-01,3.839387183643813151e-01
1.090000360789388651e+03,1.995964670660893632e-06,2.017664669553138890e-01,3.866579600696745667e-01
1.100000360789388651e+03,1.995985027916677724e-06,2.007486041661092624e-01,3.893644762109872426e-01
1.110000360789388651e+03,1.996118821651105566e-06,1.940589174447172049e-01,3.920582558416225716e-01
1.120000360789388651e+03,1.996142178316490624e-06,1.928910841754643002e-01,3.947394012258654827e-01
1.130000360789388651e+03,1.996165365330896050e-06,1.917317334551930097e-01,3.974079057041093321e-01
1.140000360789388651e+03,1.996188387170096453e-06,1.905806414951728145e-01,4.000638238647530320e-01
1.150000360789388651e+03,1.996212394550374806e-06,1.893802724812551630e-01,4.027071968821164250e-01
1.160000360789388651e+03,1.996235831936468726e-06,1.882084031765592080e-01,4.053382659155907453e-01
1.170000360789388651e+03,1.996259849213494857e-06,1.870075393252526030e-01,4.079569025743114974e-01
1.180000360789388651e+03,1.996283507356925968e-06,1.858246321536970724e-01,4.105632100068553614e-01
1.190000360789388651e+03,1.996307802434626562e-06,1.846098782686673712e-01,4.131572385696068439e-01
1.200000360789388651e+03,1.996331590931123712e-06,1.834204534438098888e-01,4.157390502814352073e-01
1.210000360789388651e+03,1.996356090884024380e-06,1.821954557987764955e-01,4.183087645999392645e-01
1.220000360789388651e+03,1.996380421333227505e-06,1.809789333386202237e-01,4.208663027770750409e-01
1.230000360789388651e+03,1.996404510301045367e-06,1.797744849477271034e-01,4.234118074892285755e-01
1.240000360789388651e+03,1.996428132606174090e-06,1.785933696912909707e-01,4.259453853159881342e-01
1.250000360789388651e+03,1.996452995327946301e-06,1.773502336026804294e-01,4.284669947857141503e-01
1.260000360789388651e+03,1.996477166640209350e-06,1.761416679895279891e-01,4.309767058739373269e-01
1.270000360789388651e+03,1.996501380016323801e-06,1.749309991838054190e-01,4.334746044403772203e-01
1.280000360789388651e+03,1.996526226323617745e-06,1.736886838191082361e-01,4.359608562582445446e-01
1.290000360789388651e+03,1.996550273243749406e-06,1.724863378125252034e-01,4.384352565640545762e-01
1.300000360789388651e+03,1.996574713762306505e-06,1.712643118846702006e-01,4.408981155191326051e-01
1.310000360789388651e+03,1.996598654528456298e-06,1.700672735771805999e-01,4.433493126428232900e-01
1.320000360789388651e+03,1.996623119728104630e-06,1.688440135947639753e-01,4.457889354751248812e-01
1.330000360789388651e+03,1.996647231800108158e-06,1.676384099945875394e-01,4.482170841857463506e-01
1.340000360789388651e+03,1.996671382084220944e-06,1.664308957889482632e-01,4.506338791759005868e-01
1.350000360789388651e+03,1.996695308705196227e-06,1.652345647401841366e-01,4.530391711218569872e-01
1.360000360789388651e+03,1.996719212528825647e-06,1.640393735587131196e-01,4.554332349618052111e-01
1.370000360789388651e+03,1.996743291826109432e-06,1.628354086945238699e-01,4.578160332041349978e-01
1.380000360789388651e+03,1.996767022417940141e-06,1.616488791029884464e-01,4.601875082457913546e-01
1.390406860351562500e+03,1.996791777316196780e-06,1.604111341901565124e-01,4.626435944542854894e-01
1.400479736328125000e+03,1.996815481035417652e-06,1.592259482291128736e-01,4.650093433637509932e-01
1.409607177734375000e+03,1.996837876821878455e-06,1.581061589060727690e-01,4.671436436791739366e-01
1.419818847656250000e+03,1.996862006057773073e-06,1.568996971113418293e-01,4.695203181301613737e-01
1.430104492187500000e+03,1.996885923024769960e-06,1.557038487614974820e-01,4.719026685792406806e-01
1.440464721679687500e+03,1.996909601213575851e-06,1.545199393212029204e-01,4.742906504732541384e-01
1.449852905273437500e+03,1.996931108764298234e-06,1.534445617850837829e-01,4.764445002111542538e-01
1.460356079101562500e+03,1.996954954738278545e-06,1.522522630860682624e-01,4.788428971347610252e-01
1.469873779296875000e+03,1.996976539055206032e-06,1.511730472396939085e-01,4.810059317895399866e-01
1.480521850585937500e+03,1.997000474284420032e-06,1.499762857789938564e-01,4.834144173537315847e-01
1.490170898437500000e+03,1.997021950155338541e-06,1.489024922330684231e-01,4.855864292585523323e-01
1.499882934570312500e+03,1.997043280816509672e-06,1.478359591745118662e-01,4.877627853452266571e-01
1.509658203125000000e+03,1.997064475952305482e-06,1.467762023847213881e-01,4.899431256970000481e-01
1.519497070312500000e+03,1.997085913841186245e-06,1.457043079406832309e-01,4.921275583010615851e-01
1.530504394531250000e+03,1.997109269238411786e-06,1.445365380794061960e-01,4.945593352766276540e-01
1.540479125976562500e+03,1.997130311445057640e-06,1.434844277471134799e-01,4.967521608894116536e-01
1.550518676757812500e+03,1.997151640330267496e-06,1.424179834866206584e-01,4.989488123888132787e-01
1.559497558593750000e+03,1.997170440238640565e-06,1.414779880679672419e-01,5.009045898352394444e-01
1.569661010742187500e+03,1.997191842699525512e-06,1.404078650237199077e-01,5.031083482260150230e-01
1.579890869140625000e+03,1.997211736604578156e-06,1.394131697710876694e-01,5.053158593891686756e-01
1.590187255859375000e+03,1.997232647341612270e-06,1.383676329193819776e-01,5.075269468204546275e-01
1.600550659179687500e+03,1.997253118918600351e-06,1.373440540699779333e-01,5.097415794801845035e-01
1.609819213867187500e+03,1.997271028345928534e-06,1.364485827035687993e-01,5.117130927662174589e-01
1.620310424804687500e+03,1.997291840059563745e-06,1.354079970218082518e-01,5.139343798994951973e-01
1.629693237304687500e+03,1.997309772496911669e-06,1.345113751544119995e-01,5.159115652277290742e-01
1.640314331054687500e+03,1.997328796588061285e-06,1.335601705969312603e-01,5.181390663408549369e-01
1.649813354492187500e+03,1.997345502621468514e-06,1.327248689265697890e-01,5.201217681608358845e-01
1.660565063476562500e+03,1.997365138680206092e-06,1.317430659896908773e-01,5.223554226122766320e-01
1.670180908203125000e+03,1.997382460076737836e-06,1.308769961631036927e-01,5.243433225418859811e-01
1.679852416992187500e+03,1.997399434841045262e-06,1.300282579477324008e-01,5.263337955316671479e-01
1.689579956054687500e+03,1.997416436635668201e-06,1.291781682165854539e-01,5.283266036378011510e-01
1.700590820312500000e+03,1.997435196575137398e-06,1.282401712431255891e-01,5.305712649478023790e-01
1.710438354492187500e+03,1.997451784659662849e-06,1.274107670168530271e-01,5.325688833457755678e-01
1.720342773437500000e+03,1.997468002584414310e-06,1.265998707792800049e-01,5.345687244248327197e-01
1.730304687500000000e+03,1.997483881104087445e-06,1.258059447956232368e-01,5.365706328856203466e-01
1.740324218750000000e+03,1.997499761889490705e-06,1.250119055254602374e-01,5.385747497366304426e-01
1.750401611328125000e+03,1.997515444333665388e-06,1.242277833167260565e-01,5.405809036437506654e-01
1.760537475585937500e+03,1.997530762021106716e-06,1.234618989446596704e-01,5.425889348318447825e-01
1.769454467773437500e+03,1.997543898852711599e-06,1.228050573644155485e-01,5.443476710127244100e-01
1.779700439453125000e+03,1.997559164120756233e-06,1.220417939621838421e-01,5.463593238842429090e-01
1.790005615234375000e+03,1.997574238013244294e-06,1.212880993377807859e-01,5.483728645438303850e-01
1.800370605468750000e+03,1.997588642551317049e-06,1.205678724341430058e-01,5.503881211636377779e-01
1.809489135742187500e+03,1.997601113828652605e-06,1.199443085673652376e-01,5.521529680837746756e-01
1.819966796875000000e+03,1.997614947621040590e-06,1.192526189479659604e-01,5.541713850663813057e-01
1.830505126953125000e+03,1.997628726913010420e-06,1.185636543494744538e-01,5.561915252020046552e-01
1.839776123046875000e+03,1.997640298855994564e-06,1.179850572002672515e-01,5.579603752762727353e-01
1.850429199218750000e+03,1.997653450075561128e-06,1.173274962219390677e-01,5.599833632139106232e-01
1.859801269531250000e+03,1.997663951184479271e-06,1.168024407760319544e-01,5.617547017284416633e-01
1.870569824218750000e+03,1.997677105464746873e-06,1.161447267626518065e-01,5.637803159235137418e-01
1.880043579101562500e+03,1.997687950632660838e-06,1.156024683669535785e-01,5.655538581172784296e-01
1.889565185546875000e+03,1.997698744888060310e-06,1.150627555969799959e-01,5.673284400721640974e-01
1.900506469726562500e+03,1.997709508580201609e-06,1.145245709899150310e-01,5.693575939393595853e-01
1.910131958007812500e+03,1.997718873827586036e-06,1.140563086206936860e-01,5.711340876740154116e-01
1.919806030273437500e+03,1.997728417026795474e-06,1.135791486602217709e-01,5.729115369529572677e-01
1.929529174804687500e+03,1.997737375627157277e-06,1.131312186421316313e-01,5.746897392957215356e-01
1.939301513671875000e+03,1.997745794502159083e-06,1.127102748920413150e-01,5.764687719196153193e-01
1.950530517578125000e+03,1.997754997685703108e-06,1.122501157148400736e-01,5.785027443092882748e-01
1.960409179687500000e+03,1.997763004469245885e-06,1.118497765377012565e-01,5.802833579766354388e-01
1.970337890625000000e+03,1.997770473129123923e-06,1.114763435437993583e-01,5.820645221341953501e-01
1.980316772460937500e+03,1.997777714497075785e-06,1.111142751462062400e-01,5.838463638951603141e-01
1.990346313476562500e+03,1.997783955726947061e-06,1.108022136526424228e-01,5.856286258459988403e-01
2.000426391601562500e+03,1.997790767513408931e-06,1.104616243295489381e-01,5.874116140416461018e-01
2.010557617187500000e+03,1.997796392990477762e-06,1.101803504761073860e-01,5.891949041473902859e-01
2.019282348632812500e+03,1.997801372557527736e-06,1.099313721236086644e-01,5.907239545541536074e-01
2.029509033203125000e+03,1.997806268526215018e-06,1.096865736892445736e-01,5.925080701136105077e-01
2.039787353515625000e+03,1.997811397121828649e-06,1.094301439085630517e-01,5.942926461058291032e-01
2.050117919921875000e+03,1.997815560760460958e-06,1.092219619769475708e-01,5.960775371191482375e-01
2.060500732421875000e+03,1.997818901591868099e-06,1.090549204065905387e-01,5.978625839556923616e-01
2.069441894531250000e+03,1.997822521141525247e-06,1.088739429237331052e-01,5.993928815721047965e-01
2.079922607421875000e+03,1.997825164201608211e-06,1.087417899195849136e-01,6.011784467627752093e-01
2.090456054687500000e+03,1.997827709893534412e-06,1.086145053232748930e-01,6.029641079096510481e-01
2.099527587890625000e+03,1.997829029797404349e-06,1.085485101297780502e-01,6.044947781964407074e-01
2.110160156250000000e+03,1.997831123713481779e-06,1.084438143259065235e-01,6.062806620800410551e-01
