# x, diffusivity, rel diff, damping coeff
1.000030710562714376e+01,2.068700699662653234e-06,3.435034983132666309e+00,3.508734849457539884e-02
2.000030710562714376e+01,1.995332013246123380e-06,2.333993376938264808e-01,6.815905946054612308e-02
3.000030710562714376e+01,1.971279750438726327e-06,1.436012478063679154e+00,1.001241142949995666e-01
4.000030710562714376e+01,1.959592554306108112e-06,2.020372284694589737e+00,1.310198339540207257e-01
5.000030710562714376e+01,1.952703144855785688e-06,2.364842757210711355e+00,1.608818038242074699e-01
6.000030710562714376e+01,1.948350166344321559e-06,2.582491682783917497e+00,1.897444916340753629e-01
7.000030710562714376e+01,1.945319008127511234e-06,2.734049593624433783e+00,2.176413430621318978e-01
8.000030710562714376e+01,1.943193343721320528e-06,2.840332813933969192e+00,2.446044108685664353e-01
9.000030710562714376e+01,1.941768907966488477e-06,2.911554601675571785e+00,2.706647195681092244e-01
1.000003071056271438e+02,1.940812608109013257e-06,2.959369594549333016e+00,2.958520489889638894e-01
1.100003071056271438e+02,1.940161140079747871e-06,2.991942996012602052e+00,3.201952275110453439e-01
1.200003071056271438e+02,1.939636021721449449e-06,3.018198913927523375e+00,3.437218817946160465e-01
1.300003071056271438e+02,1.939508313823368332e-06,3.024584308831578916e+00,3.664589034423512137e-01
1.400003071056271438e+02,1.939595880656367433e-06,3.020205967181623929e+00,3.884323680299488490e-01
1.500003071056271438e+02,1.939577546597885511e-06,3.021122670105719887e+00,4.096670256103241980e-01
1.600003071056271438e+02,1.940064935264945796e-06,2.996753236752705885e+00,4.301870859665140046e-01
1.700003071056271438e+02,1.940218889009349853e-06,2.989055549532503075e+00,4.500160314702220665e-01
1.800003071056271438e+02,1.940708563208697636e-06,2.964571839565113720e+00,4.691759861985848046e-01
1.900003071056271438e+02,1.941249969539115337e-06,2.937501523044228957e+00,4.876890275235100658e-01
2.000003071056271438e+02,1.941905847060413062e-06,2.904707646979342250e+00,5.055759424953230052e-01
2.100003071056271438e+02,1.942663898942125695e-06,2.866805052893711014e+00,5.228570403701707781e-01
2.200003071056271438e+02,1.943866170055241826e-06,2.806691497237904453e+00,5.395521385727752861e-01
2.300003071056271438e+02,1.944789482032995070e-06,2.760525898350242091e+00,5.556800011260528693e-01
2.400003071056271438e+02,1.945750187233040263e-06,2.712490638347982319e+00,5.712591234665893580e-01
2.500003071056271438e+02,1.946168897868386474e-06,2.691555106580671985e+00,5.863073558330622603e-01
2.600003071056271438e+02,1.947883859636286086e-06,2.605807018185691604e+00,6.008417306939692892e-01
2.700003071056271438e+02,1.948998273574504627e-06,2.550086321274763979e+00,6.148788092048602660e-01
2.800003071056271438e+02,1.950208014324130749e-06,2.489599283793458184e+00,6.284348417290057665e-01
2.900003071056271438e+02,1.951420090691067390e-06,2.428995465446626145e+00,6.415251792307887779e-01
3.000003071056271438e+02,1.952653552139521175e-06,2.367322393023936655e+00,6.541652464158214109e-01
3.100003071056271438e+02,1.953955371044333967e-06,2.302231447783297469e+00,6.663693360624228790e-01
3.200003071056271438e+02,1.955237302456636664e-06,2.238134877168162173e+00,6.781519343323649807e-01
3.300003071056271438e+02,1.956584142115621167e-06,2.170792894218937175e+00,6.895263909211795106e-01
3.400003071056271438e+02,1.958001518884918968e-06,2.099924055754047281e+00,7.005062586985110196e-01
3.500003071056271438e+02,1.959384597834059962e-06,2.030770108296997556e+00,7.111043153168536968e-01
3.600003071056271438e+02,1.960804396303552250e-06,1.959780184822383031e+00,7.213330615940913848e-01
3.700003071056271438e+02,1.962141288573617150e-06,1.892935571319138033e+00,7.312046457816814282e-01
3.800003071056271438e+02,1.963659481918036138e-06,1.817025904098188649e+00,7.407307949412942349e-01
3.900003071056271438e+02,1.964989057159323339e-06,1.750547142033828774e+00,7.499227284271403615e-01
4.000003071056271438e+02,1.966434720233329290e-06,1.678263988333530854e+00,7.587916640731391382e-01
4.100003071056271438e+02,1.967911514709680927e-06,1.604424264515949217e+00,7.673482309932528889e-01
4.200003071056271438e+02,1.969460869342653822e-06,1.526956532867304484e+00,7.756027577210199420e-01
4.300003071056271438e+02,1.970848445581788094e-06,1.457577720910590902e+00,7.835654204209007156e-01
4.400003071056271438e+02,1.972170183262277279e-06,1.391490836886131399e+00,7.912459511784747379e-01
4.500003071056271438e+02,1.973594320895072189e-06,1.320283955246386087e+00,7.986538096410316090e-01
4.600003071056271438e+02,1.975135145503743471e-06,1.243242724812821942e+00,8.057981506347104972e-01
4.700003071056271438e+02,1.976441419143821794e-06,1.177929042808905757e+00,8.126878993389046180e-01
4.800003071056271438e+02,1.977779991493926815e-06,1.111000425303654726e+00,8.193317488459552766e-01
4.900003071056271438e+02,1.979062272099179694e-06,1.046886395041010775e+00,8.257382000391304544e-01
5.000003071056271438e+02,1.980457888759413797e-06,9.771055620293057631e-01,8.319150678798081788e-01
5.100003071056271438e+02,1.981648744209663111e-06,9.175627895168400050e-01,8.378704996289378926e-01
5.200003071056271438e+02,1.983059998514696252e-06,8.470000742651828674e-01,8.436120731371408166e-01
5.300003071056271438e+02,1.984107950710898684e-06,7.946024644550613303e-01,8.491471589535840581e-01
5.400003071056271438e+02,1.985308340052173042e-06,7.345829973913433619e-01,8.544830090083225249e-01
5.500003071056271438e+02,1.986435418440717271e-06,6.782290779641318990e-01,8.596266544418631472e-01
5.600003071056271438e+02,1.987516726026317242e-06,6.241636986841334611e-01,8.645848071752484376e-01
5.700003071056271438e+02,1.988589284155558016e-06,5.705357922220947176e-01,8.693638840735652407e-01
5.800003071056271438e+02,1.989738661127314281e-06,5.130669436342814027e-01,8.739705082232742672e-01
5.900003071056271438e+02,1.990692999243371591e-06,4.653500378314159303e-01,8.784106593894820403e-01
6.000003071056271438e+02,1.992032962856695134e-06,3.983518571652387985e-01,8.826903165764123926e-01
6.100003071056271438e+02,1.992342586439760946e-06,3.828706780119481845e-01,8.868152049535076298e-01
6.200003071056271438e+02,1.993315985587215231e-06,3.342007206392339502e-01,8.907909929497818124e-01
6.300003071056271438e+02,1.993963531547016676e-06,3.018234226491616767e-01,8.946230107049621960e-01
6.400003071056271438e+02,1.994985607992573058e-06,2.507196003713426102e-01,8.983164999983155319e-01
6.500003071056271438e+02,1.995296645435513622e-06,2.351677282243143652e-01,9.018766819767638498e-01
6.600003071056271438e+02,1.995947264188314645e-06,2.026367905842632600e-01,9.053081171875657640e-01
6.700003071056271438e+02,1.996461342202043638e-06,1.769328898978135833e-01,9.086157915325150380e-01
6.800003071056271438e+02,1.997036567830192114e-06,1.481716084903897945e-01,9.118041563607754973e-01
6.900003071056271438e+02,1.997384511579865588e-06,1.307744210067160739e-01,9.148776800721964975e-01
7.000003071056271438e+02,1.998011952694819349e-06,9.940236525902802767e-02,9.178405941428815495e-01
7.100003071056271438e+02,1.999072949890515460e-06,4.635250547422248291e-02,9.206970268493930298e-01
7.200003071056271438e+02,1.998878414032475541e-06,5.607929837621843105e-02,9.234509147900201720e-01
7.300003071056271438e+02,1.999097743699178707e-06,4.511281504106014195e-02,9.261060964335290357e-01
7.400003071056271438e+02,1.999869257956158192e-06,6.537102192085870143e-03,9.286663183035183122e-01
7.500003071056271438e+02,2.000028192691490701e-06,1.409634574539595907e-03,9.311351213776105640e-01
7.600003071056271438e+02,2.000143084498019512e-06,7.154224900980135811e-03,9.335159240223604993e-01
7.700003071056271438e+02,2.000204524149042465e-06,1.022620745212777550e-02,9.358120106402303406e-01
7.800003071056271438e+02,2.000317846596456331e-06,1.589232982282108922e-02,9.380266049190102429e-01
7.900003071056271438e+02,2.000214228962198802e-06,1.071144810994464382e-02,9.401627558268695894e-01
8.000003071056271438e+02,2.000111291313726716e-06,5.564565686340309722e-03,9.422233635055877743e-01
8.100003071056271438e+02,1.999993932179883884e-06,3.033910058012641688e-04,9.442113784438586066e-01
8.200003071056271438e+02,1.999864162344818562e-06,6.791882759067379219e-03,9.461294333778152987e-01
8.300003071056271438e+02,1.999669505145415986e-06,1.652474272919619847e-02,9.479802005385173924e-01
8.400003071056271438e+02,1.999530853655503216e-06,2.345731722483465967e-02,9.497661911332062612e-01
8.500003071056271438e+02,1.999172826593539870e-06,4.135867032300197255e-02,9.514898025104723267e-01
8.600003071056271438e+02,1.998883680418617365e-06,5.581597906912721258e-02,9.531533892384288498e-01
8.700003071056271438e+02,1.998535550698893243e-06,7.322246505533333560e-02,9.547592082764525534e-01
8.800003071056271438e+02,1.998196481735846776e-06,9.017591320765666607e-02,9.563093827153658077e-01
8.900003071056271438e+02,1.997770370176113019e-06,1.114814911943445286e-01,9.578059470498598849e-01
9.000003071056271438e+02,1.997336037912526475e-06,1.331981043736717163e-01,9.592509478175457183e-01
9.100003071056271438e+02,1.996933902817365878e-06,1.533048591317015819e-01,9.606462326310468702e-01
9.200003071056271438e+02,1.996453272278859523e-06,1.773363860570193462e-01,9.619936494336743804e-01
9.300003071056271438e+02,1.996042347088943134e-06,1.978826455528387984e-01,9.632949742340157773e-01
9.400003071056271438e+02,1.995508155281608634e-06,2.245922359195638152e-01,9.645518209051359149e-01
9.500003071056271438e+02,1.995030009235853648e-06,2.484995382073130754e-01,9.657658757625099399e-01
9.600003071056271438e+02,1.994527395839479617e-06,2.736302080260146208e-01,9.669385985448523124e-01
9.700003071056271438e+02,1.994006309526729348e-06,2.996845236635281018e-01,9.680715537267925441e-01
9.800003071056271438e+02,1.993497590298618497e-06,3.251204850690706527e-01,9.691661624583656209e-01
9.900003071056271438e+02,1.992975001882282720e-06,3.512499058858594703e-01,9.702236942842632494e-01
1.000000307105627144e+03,1.992531119613196689e-06,3.734440193401610819e-01,9.712455576214702457e-01
1.010000307105627144e+03,1.991968744483170740e-06,4.015627758414584414e-01,9.722329897896141437e-01
1.020000307105627144e+03,1.991460263212473842e-06,4.269868393763033843e-01,9.731871661324765777e-01
1.030000307105627144e+03,1.990944413239754720e-06,4.527793380122595579e-01,9.741092826802377758e-01
1.040000307105627144e+03,1.990452584926894803e-06,4.773707536552553310e-01,9.750004408580834614e-01
1.050000307105627144e+03,1.990055914905044720e-06,4.972042547477594776e-01,9.758616682494128947e-01
1.060000307105627144e+03,1.989499329730500876e-06,5.250335134749517518e-01,9.766940539917076114e-01
1.070000307105627144e+03,1.989069882129105137e-06,5.465058935447386634e-01,9.774985137105323130e-01
1.080000307105627144e+03,1.988598147681112382e-06,5.700926159443764352e-01,9.782760592863817273e-01
1.090000307105627144e+03,1.988182092679022398e-06,5.908953660488756032e-01,9.790275993079851080e-01
1.100000307105627144e+03,1.987800865087681793e-06,6.099567456159058487e-01,9.797539723290312752e-01
1.110000307105627144e+03,1.987416131403033509e-06,6.291934298483200516e-01,9.804560269330965250e-01
1.120000307105627144e+03,1.987060442249817408e-06,6.469778875091251047e-01,9.811345517996170607e-01
1.130000307105627144e+03,1.986684061018346800e-06,6.657969490826555203e-01,9.817904046102928772e-01
1.140000307105627144e+03,1.986399691282041633e-06,6.800154358979138003e-01,9.824242552506943227e-01
1.150000307105627144e+03,1.986120431014543584e-06,6.939784492728162668e-01,9.830368993798680455e-01
1.160000307105627144e+03,1.985804170423725472e-06,7.097914788137218434e-01,9.836289948042563624e-01
1.170000307105627144e+03,1.985646565960477264e-06,7.176717019761322813e-01,9.842012053022333173e-01
1.180000307105627144e+03,1.985392108750680663e-06,7.303945624659623492e-01,9.847541914398304508e-01
1.190000307105627144e+03,1.985208428657208353e-06,7.395785671395778138e-01,9.852886005703549444e-01
1.200000307105627144e+03,1.985037352695089235e-06,7.481323652455338369e-01,9.858050000014946246e-01
1.210000307105627144e+03,1.984924813765646585e-06,7.537593117176663027e-01,9.863039877472301598e-01
1.220000307105627144e+03,1.985004382185138176e-06,7.497808907430867364e-01,9.867861324679219059e-01
1.230000307105627144e+03,1.984940369054645960e-06,7.529815472676975041e-01,9.872520130624501400e-01
1.240000307105627144e+03,1.984646987914981827e-06,7.676506042509041450e-01,9.877021226812994215e-01
1.250000307105627144e+03,1.984905814544784023e-06,7.547092727607943585e-01,9.881369422538525127e-01
1.260000307105627144e+03,1.985007375363491714e-06,7.496312318254098050e-01,9.885569781722113314e-01
1.270000307105627144e+03,1.985068919808122235e-06,7.465540095938837384e-01,9.889627614248884813e-01
1.280000307105627144e+03,1.985078036150425224e-06,7.460981924787343234e-01,9.893546842523093243e-01
1.290000307105627144e+03,1.985196713908925965e-06,7.401643045536971943e-01,9.897332309945015005e-01
1.300000307105627144e+03,1.985458780887109319e-06,7.270609556445295496e-01,9.900988315554902774e-01
1.310000307105627144e+03,1.986001196611999324e-06,6.999401694000293439e-01,9.904519150082777834e-01
1.320000307105627144e+03,1.986232423172060893e-06,6.883788413969509357e-01,9.907928562724496180e-01
1.330000307105627144e+03,1.986420984304959434e-06,6.789507847520238615e-01,9.911220954613995104e-01
1.340000307105627144e+03,1.987570379036220030e-06,6.214810481889939675e-01,9.914399563503683011e-01
1.350000307105627144e+03,1.987935067639495368e-06,6.032466180252271659e-01,9.917468628192099844e-01
1.360000307105627144e+03,1.988323321644225184e-06,5.838339177887362785e-01,9.920431463180143794e-01
1.370000307105627144e+03,1.988741723618051946e-06,5.629138190973982381e-01,9.923291566918855944e-01
1.380000307105627144e+03,1.989190720462757979e-06,5.404639768620965734e-01,9.926052459621702573e-01
1.390000307105627144e+03,1.989688548646938088e-06,5.155725676530911183e-01,9.928717567910826380e-01
1.400000307105627144e+03,1.990182467700523405e-06,4.908766149738252316e-01,9.931289548872374029e-01
1.410000307105627144e+03,1.990706883905205832e-06,4.646558047397038593e-01,9.933771772408478418e-01
1.420000307105627144e+03,1.991266926656805847e-06,4.366536671597031072e-01,9.936167276091084632e-01
1.430000307105627144e+03,1.991855976221956419e-06,4.072011889021745490e-01,9.938479165311161490e-01
1.440000307105627144e+03,1.992493961144089190e-06,3.753019427955359699e-01,9.940709577750983517e-01
1.450000307105627144e+03,1.993106105892060839e-06,3.446947053969535713e-01,9.942861975635158833e-01
1.460000307105627144e+03,1.993773597170202500e-06,3.113201414898705277e-01,9.944938722580853874e-01
1.470000307105627144e+03,1.994464273925383941e-06,2.767863037307984331e-01,9.946942058045088464e-01
1.480000307105627144e+03,1.995181742581638912e-06,2.409128709180499150e-01,9.948875239315285723e-01
1.490000307105627144e+03,1.995926028651396921e-06,2.036985674301494131e-01,9.950740455068191048e-01
1.500000307105627144e+03,1.996700038009977848e-06,1.649980995011031126e-01,9.952539249730452120e-01
1.510000307105627144e+03,1.997482441759225784e-06,1.258779120387062966e-01,9.954274585083037197e-01
1.520000307105627144e+03,1.998312476026415927e-06,8.437619867919914085e-02,9.955948643705605505e-01
1.530000307105627144e+03,1.999146113006735963e-06,4.269434966319733682e-02,9.957563495806224241e-01
1.540000307105627144e+03,2.000009467309213241e-06,4.733654606665785650e-04,9.959121070608105697e-01
1.550000307105627144e+03,2.000904147751606307e-06,4.520738758031987020e-02,9.960623259419597586e-01
1.560000307105627144e+03,2.001846211246564159e-06,9.231056232821249763e-02,9.962072159675947614e-01
1.570000307105627144e+03,2.002780336820771901e-06,1.390168410385995701e-01,9.963469809516896092e-01
