# x, diffusivity, rel diff, damping coeff
1.000030710562714376e+01,1.851269318986649223e-06,7.436534050667534146e+00,3.553456158545065247e-02
2.000030710562714376e+01,1.897077660668900939e-06,5.146116966554948213e+00,6.898904628578639286e-02
3.000030710562714376e+01,1.911463015760644927e-06,4.426849211967749831e+00,1.012889665937366512e-01
4.000030710562714376e+01,1.919068716461130658e-06,4.046564176943463487e+00,1.324759919245007689e-01
5.000030710562714376e+01,1.923308940640255795e-06,3.834552967987205907e+00,1.625899528840516473e-01
6.000030710562714376e+01,1.925605274861682493e-06,3.719736256915870953e+00,1.916692690851862224e-01
7.000030710562714376e+01,1.927725429926510055e-06,3.613728503674493275e+00,2.197508578099418575e-01
8.000030710562714376e+01,1.928930593749602329e-06,3.553470312519878771e+00,2.468701576284005883e-01
9.000030710562714376e+01,1.929834056333703465e-06,3.508297183314822210e+00,2.730611398029827441e-01
1.000003071056271438e+02,1.930548497092770899e-06,3.472575145361450843e+00,2.983564845517036046e-01
1.100003071056271438e+02,1.931274486919538149e-06,3.436275654023088322e+00,3.227874022510909269e-01
1.200003071056271438e+02,1.931872655781034783e-06,3.406367210948256563e+00,3.463839623536207890e-01
1.300003071056271438e+02,1.932340892521192300e-06,3.382955373940380817e+00,3.691750322241060811e-01
1.400003071056271438e+02,1.932772371071379241e-06,3.361381446431034092e+00,3.911886312320718151e-01
1.500003071056271438e+02,1.933288315739869142e-06,3.335584213006538512e+00,4.124512729500664499e-01
1.600003071056271438e+02,1.933833696064827097e-06,3.308315196758640386e+00,4.329886031700513893e-01
1.700003071056271438e+02,1.934451694827771171e-06,3.277415258611437121e+00,4.528255313605247245e-01
1.800003071056271438e+02,1.934836602126551899e-06,3.258169893672401063e+00,4.719853937236065944e-01
1.900003071056271438e+02,1.935570471310661061e-06,3.221476434466942429e+00,4.904913223508929887e-01
2.000003071056271438e+02,1.935925987875541429e-06,3.203700606222924296e+00,5.083651430369178215e-01
2.100003071056271438e+02,1.936832685881792756e-06,3.158365705910357590e+00,5.256279148294593639e-01
2.200003071056271438e+02,1.937456779119580831e-06,3.127161044020954073e+00,5.423002085644625936e-01
2.300003071056271438e+02,1.938237984414648108e-06,3.088100779267590301e+00,5.584014981105956954e-01
2.400003071056271438e+02,1.938644328288978238e-06,3.067783585551083547e+00,5.739507856549495024e-01
2.500003071056271438e+02,1.939536974299156681e-06,3.023151285042161351e+00,5.889663910262590285e-01
2.600003071056271438e+02,1.940223054697099704e-06,2.988847265145010645e+00,6.034657881210181429e-01
2.700003071056271438e+02,1.941612318745157090e-06,2.919384062742141239e+00,6.174658979266685055e-01
2.800003071056271438e+02,1.942543615937277068e-06,2.872819203136142363e+00,6.309832743008063627e-01
2.900003071056271438e+02,1.943495908774616803e-06,2.825204561269155423e+00,6.440334915389397397e-01
3.000003071056271438e+02,1.943788243244296315e-06,2.810587837785179843e+00,6.566321761837584647e-01
3.100003071056271438e+02,1.944777022902907342e-06,2.761148854854628354e+00,6.687938758956142316e-01
3.200003071056271438e+02,1.946631518760840895e-06,2.668424061957950677e+00,6.805331646128884859e-01
3.300003071056271438e+02,1.947765975280233797e-06,2.611701235988305392e+00,6.918635391237357712e-01
3.400003071056271438e+02,1.948847108194024836e-06,2.557644590298753684e+00,7.027986198376973137e-01
3.500003071056271438e+02,1.950018618962773174e-06,2.499069051861336987e+00,7.133513276465974773e-01
3.600003071056271438e+02,1.951155087387542430e-06,2.442245630622874142e+00,7.235341792126321891e-01
3.700003071056271438e+02,1.952340481177651736e-06,2.382975941117408514e+00,7.333593888409429828e-01
3.800003071056271438e+02,1.953588206207637437e-06,2.320589689618123508e+00,7.428387719414675239e-01
3.900003071056271438e+02,1.954828825968931326e-06,2.258558701553429415e+00,7.519835947515483010e-01
4.000003071056271438e+02,1.956025163057222055e-06,2.198741847138892869e+00,7.608050946551653260e-01
4.100003071056271438e+02,1.957195692353626216e-06,2.140215382318684689e+00,7.693139210140735873e-01
4.200003071056271438e+02,1.958398233350126160e-06,2.080088332493687631e+00,7.775204310773967675e-01
4.300003071056271438e+02,1.959615034432890117e-06,2.019248278355489479e+00,7.854349068275626733e-01
4.400003071056271438e+02,1.960830663430903328e-06,1.958466828454829001e+00,7.930670430731160403e-01
4.500003071056271438e+02,1.962083007106275219e-06,1.895849644686234736e+00,8.004263407401746022e-01
4.600003071056271438e+02,1.963232251795694172e-06,1.838387410215287066e+00,8.075220485750701505e-01
4.700003071056271438e+02,1.964478823947859452e-06,1.776058802607022979e+00,8.143630434804522977e-01
4.800003071056271438e+02,1.965506361429010922e-06,1.724681928549449683e+00,8.209581206941773956e-01
4.900003071056271438e+02,1.966762287531038890e-06,1.661885623448051019e+00,8.273157828934349922e-01
5.000003071056271438e+02,1.967739159732631919e-06,1.613042013368399807e+00,8.334439515603089266e-01
5.100003071056271438e+02,1.968853567042964608e-06,1.557321647851765078e+00,8.393507881989143993e-01
5.200003071056271438e+02,1.969888153992054401e-06,1.505592300397275540e+00,8.450439201180285353e-01
5.300003071056271438e+02,1.970851381118587342e-06,1.457430944070628343e+00,8.505307363069811721e-01
5.400003071056271438e+02,1.971779485880685490e-06,1.411025705965720967e+00,8.558185608375515896e-01
5.500003071056271438e+02,1.972845493062613678e-06,1.357725346869311567e+00,8.609144854466818098e-01
5.600003071056271438e+02,1.973778362331651221e-06,1.311081883417434479e+00,8.658252783063040692e-01
5.700003071056271438e+02,1.974625320480609946e-06,1.268733975969498218e+00,8.705573897130222116e-01
5.800003071056271438e+02,1.975187828886349731e-06,1.240608555682509051e+00,8.751175228733016898e-01
5.900003071056271438e+02,1.975906182419865533e-06,1.204690879006719006e+00,8.795116429461025120e-01
6.000003071056271438e+02,1.976869411734939334e-06,1.156529413253028826e+00,8.837458323025109141e-01
6.100003071056271438e+02,1.977508958270705175e-06,1.124552086464736700e+00,8.878259180784165983e-01
6.200003071056271438e+02,1.977850005653752692e-06,1.107499717312360854e+00,8.917574739826530372e-01
6.300003071056271438e+02,1.978388422286160885e-06,1.080578885691951374e+00,8.955459947121771069e-01
6.400003071056271438e+02,1.978772702965331565e-06,1.061364851733417325e+00,8.991967404351364213e-01
6.500003071056271438e+02,1.979290697443746027e-06,1.035465127812694064e+00,9.027149237116117719e-01
6.600003071056271438e+02,1.979505852217105460e-06,1.024707389144722480e+00,9.061051726974979070e-01
6.700003071056271438e+02,1.980161961351021979e-06,9.919019324488966838e-01,9.093725225680829860e-01
6.800003071056271438e+02,1.980006254530352021e-06,9.996872734823945006e-01,9.125214558167324963e-01
6.900003071056271438e+02,1.980164443449037988e-06,9.917778275480961803e-01,9.155564778501009693e-01
7.000003071056271438e+02,1.980527224924084149e-06,9.736387537957880145e-01,9.184818063359422302e-01
7.100003071056271438e+02,1.980743345652892094e-06,9.628327173553907770e-01,9.213016115164917030e-01
7.200003071056271438e+02,1.980409212192634017e-06,9.795393903682947379e-01,9.240198635566810870e-01
7.300003071056271438e+02,1.980328852927105900e-06,9.835573536447005383e-01,9.266404129445869886e-01
7.400003071056271438e+02,1.980573745101319632e-06,9.713127449340139830e-01,9.291669797559030108e-01
7.500003071056271438e+02,1.980413367643414718e-06,9.793316178292595930e-01,9.316031593459512816e-01
7.600003071056271438e+02,1.979795107680746634e-06,1.010244615962663683e+00,9.339523913884884010e-01
7.700003071056271438e+02,1.979903229790761638e-06,1.004838510461913526e+00,9.362179194909103774e-01
7.800003071056271438e+02,1.979017862090097011e-06,1.049106895495145020e+00,9.384030139557505423e-01
7.900003071056271438e+02,1.978626283892799136e-06,1.068685805360038765e+00,9.405106398595313166e-01
8.000003071056271438e+02,1.978177201377817094e-06,1.091139931109140759e+00,9.425438120200534398e-01
8.100003071056271438e+02,1.978313266662579479e-06,1.084336666871021482e+00,9.445053962943676940e-01
8.200003071056271438e+02,1.977469706129065087e-06,1.126514693546741164e+00,9.463980247681640368e-01
8.300003071056271438e+02,1.976574123762258605e-06,1.171293811887065273e+00,9.482243497037111668e-01
8.400003071056271438e+02,1.976304330316662280e-06,1.184783484166881395e+00,9.499868844451786476e-01
8.500003071056271438e+02,1.975980064439485066e-06,1.200996778025742229e+00,9.516880342422945338e-01
8.600003071056271438e+02,1.974583086806915311e-06,1.270845659654229909e+00,9.533301020128828185e-01
8.700003071056271438e+02,1.974029516867954654e-06,1.298524156602262725e+00,9.549153512550394574e-01
8.800003071056271438e+02,1.973859743904296228e-06,1.307012804785184112e+00,9.564458502114362437e-01
8.900003071056271438e+02,1.973085048449566315e-06,1.345747577521679839e+00,9.579236852868385776e-01
9.000003071056271438e+02,1.972280110021981145e-06,1.385994498900938288e+00,9.593507572392396821e-01
9.100003071056271438e+02,1.971464634746756026e-06,1.426768262662194253e+00,9.607290494848889084e-01
9.200003071056271438e+02,1.970629643000216298e-06,1.468517849989180668e+00,9.620602974687093578e-01
9.300003071056271438e+02,1.969785442224529053e-06,1.510727888773542915e+00,9.633462369333164466e-01
9.400003071056271438e+02,1.968876536639149800e-06,1.556173168042505495e+00,9.645885070395684435e-01
9.500003071056271438e+02,1.968023436740343575e-06,1.598828162982816936e+00,9.657887379396237204e-01
9.600003071056271438e+02,1.967080963150420195e-06,1.645951842478985849e+00,9.669484253057702983e-01
9.700003071056271438e+02,1.966147234774700713e-06,1.692638261264959754e+00,9.680690256007699057e-01
9.800003071056271438e+02,1.965227954112207108e-06,1.738602294389640202e+00,9.691519671449496665e-01
9.900003071056271438e+02,1.964291064857154743e-06,1.785446757142258534e+00,9.701985498078599113e-01
1.000000307105627144e+03,1.963422216322697351e-06,1.828889183865127777e+00,9.712101156219800080e-01
1.010000307105627144e+03,1.962489732607502062e-06,1.875513369624892235e+00,9.721878549865765606e-01
1.020000307105627144e+03,1.961557713374109266e-06,1.922114331294532130e+00,9.731329560696113656e-01
1.030000307105627144e+03,1.960568796217963401e-06,1.971560189101825511e+00,9.740465704091049171e-01
1.040000307105627144e+03,1.959638251049364020e-06,2.018087447531794698e+00,9.749298238702097663e-01
1.050000307105627144e+03,1.958719455279741883e-06,2.064027236012901501e+00,9.757836773430467181e-01
1.060000307105627144e+03,1.957812127923056873e-06,2.109393603847151688e+00,9.766091775757131943e-01
1.070000307105627144e+03,1.956936026267615702e-06,2.153198686619210545e+00,9.774073188536238632e-01
1.080000307105627144e+03,1.956028692519504252e-06,2.198565374024783026e+00,9.781790225967721408e-01
1.090000307105627144e+03,1.955261774359806655e-06,2.236911282009662827e+00,9.789251750537927288e-01
1.100000307105627144e+03,1.954326510143932811e-06,2.283674492803354994e+00,9.796465712738220422e-01
1.110000307105627144e+03,1.953491001806504415e-06,2.325449909674774496e+00,9.803441313652598854e-01
1.120000307105627144e+03,1.952640028495804902e-06,2.367998575209750545e+00,9.810186372558368229e-01
1.130000307105627144e+03,1.951870507911470721e-06,2.406474604426459774e+00,9.816707807085560678e-01
1.140000307105627144e+03,1.951065863370266677e-06,2.446706831486661571e+00,9.823013455998086396e-01
1.150000307105627144e+03,1.950451769188630912e-06,2.477411540568450032e+00,9.829110635625024628e-01
1.160000307105627144e+03,1.949559749996124654e-06,2.522012500193762996e+00,9.835005589692443762e-01
1.170000307105627144e+03,1.948853806615822201e-06,2.557309669208885694e+00,9.840705767615472999e-01
1.180000307105627144e+03,1.948165632538660959e-06,2.591718373066947745e+00,9.846216477262104139e-01
1.190000307105627144e+03,1.947517211211923679e-06,2.624139439403811558e+00,9.851544500935378590e-01
1.200000307105627144e+03,1.946924672599247090e-06,2.653766370037641043e+00,9.856695758303233301e-01
1.210000307105627144e+03,1.946354622711298081e-06,2.682268864435091604e+00,9.861675581449387273e-01
1.220000307105627144e+03,1.945745308435846616e-06,2.712734578207664615e+00,9.866490145611906959e-01
1.230000307105627144e+03,1.945144618212293226e-06,2.742769089385334258e+00,9.871144071737468773e-01
1.240000307105627144e+03,1.944604433215992842e-06,2.769778339200353212e+00,9.875642670913860055e-01
1.250000307105627144e+03,1.944187753826914534e-06,2.790612308654268681e+00,9.879991310485636280e-01
1.260000307105627144e+03,1.943642165611798211e-06,2.817891719410085205e+00,9.884194198465081627e-01
1.270000307105627144e+03,1.943293567704399112e-06,2.835321614780040189e+00,9.888256413465632555e-01
1.280000307105627144e+03,1.942783720601273621e-06,2.860813969936314649e+00,9.892182745693048895e-01
1.290000307105627144e+03,1.942414067096228578e-06,2.879296645188566650e+00,9.895977002208635742e-01
1.300000307105627144e+03,1.942056719984450302e-06,2.897164000777480375e+00,9.899643437270349011e-01
1.310000307105627144e+03,1.941737329509978388e-06,2.913133524501076099e+00,9.903186558491351432e-01
1.320000307105627144e+03,1.941466825129632255e-06,2.926658743518382622e+00,9.906609944324540340e-01
1.330000307105627144e+03,1.941164510738221349e-06,2.941774463088928204e+00,9.909917845766995637e-01
1.340000307105627144e+03,1.941080157359890166e-06,2.945992132005486930e+00,9.913113481684813211e-01
1.350000307105627144e+03,1.940720312961114200e-06,2.963984351944285667e+00,9.916200884429903217e-01
1.360000307105627144e+03,1.940537543286113137e-06,2.973122835694338661e+00,9.919183260280031167e-01
1.370000307105627144e+03,1.940571628075776515e-06,2.971418596211170104e+00,9.922064408972397498e-01
1.380000307105627144e+03,1.940507922293280112e-06,2.974603885335989961e+00,9.924846941156256763e-01
1.390000307105627144e+03,1.940212128156733306e-06,2.989393592163330560e+00,9.927534697535627117e-01
1.400000307105627144e+03,1.940317888482597407e-06,2.984105575870125371e+00,9.930130455508029419e-01
1.410000307105627144e+03,1.940348075290521170e-06,2.982596235473937263e+00,9.932637260439911575e-01
1.420000307105627144e+03,1.940149651142177098e-06,2.992517442891140966e+00,9.935058380781180976e-01
1.430000307105627144e+03,1.940401181181334964e-06,2.979940940933247351e+00,9.937396477184748944e-01
1.440000307105627144e+03,1.940382732997683394e-06,2.980863350115825927e+00,9.939653893735055368e-01
1.450000307105627144e+03,1.940599530896554188e-06,2.970023455172285942e+00,9.941833210088827366e-01
1.460000307105627144e+03,1.940650353843685592e-06,2.967482307815715981e+00,9.943937852309261416e-01
1.470000307105627144e+03,1.941054105415381353e-06,2.947294729230927945e+00,9.945969610919382919e-01
1.480000307105627144e+03,1.942073277603329235e-06,2.896336119833533562e+00,9.947931223178180238e-01
1.490000307105627144e+03,1.942307582477660298e-06,2.884620876116980703e+00,9.949824797417939903e-01
1.500000307105627144e+03,1.942602744671996599e-06,2.869862766400165466e+00,9.951652543762335990e-01
1.510000307105627144e+03,1.942971692367987201e-06,2.851415381600635790e+00,9.953417350235345129e-01
1.520000307105627144e+03,1.943267099351266967e-06,2.836645032436647451e+00,9.955120879429459890e-01
1.530000307105627144e+03,1.943661816971844203e-06,2.816909151407785306e+00,9.956765063680653727e-01
1.540000307105627144e+03,1.944087119800724933e-06,2.795644009963748733e+00,9.958351595039065529e-01
1.550000307105627144e+03,1.944543404823165763e-06,2.772829758841707459e+00,9.959883287191619861e-01
1.560000307105627144e+03,1.945007332225123498e-06,2.749633388743820905e+00,9.961361239455597261e-01
1.570000307105627144e+03,1.945526808736518540e-06,2.723659563174068765e+00,9.962788242156631613e-01
1.580000307105627144e+03,1.946089189272357039e-06,2.695540536382143859e+00,9.964164971551933148e-01
1.590000307105627144e+03,1.946668692972109505e-06,2.666565351394520444e+00,9.965493901846614877e-01
1.600000307105627144e+03,1.947281742351729184e-06,2.635912882413536273e+00,9.966776080605798116e-01
1.610000307105627144e+03,1.947932959795769494e-06,2.603352010211521073e+00,9.968013455531345990e-01
1.620000307105627144e+03,1.948661328805662568e-06,2.566933559716867208e+00,9.969207713598404741e-01
1.629797119140625000e+03,1.949347672050266582e-06,2.532616397486666671e+00,9.970337097232591095e-01
1.639841186523437500e+03,1.950120523666315701e-06,2.493973816684210476e+00,9.971454999933945240e-01
1.649947387695312500e+03,1.950979663520076601e-06,2.451016823996165606e+00,9.972539575853477389e-01
1.660115722656250000e+03,1.951828712897406911e-06,2.408564355129650281e+00,9.973592433031732707e-01
1.670346923828125000e+03,1.952775567434696627e-06,2.361221628265164352e+00,9.974613713721151020e-01
1.679608520507812500e+03,1.953623997822267332e-06,2.318800108886629019e+00,9.975506489388564768e-01
1.689959594726562500e+03,1.954625282755637574e-06,2.268735862218116850e+00,9.976470234055708763e-01
1.700374511718750000e+03,1.955696926042744501e-06,2.215153697862770610e+00,9.977404170720731713e-01
1.709802612304687500e+03,1.956729981407683796e-06,2.163500929615805646e+00,9.978220257584997643e-01
1.720339721679687500e+03,1.957929801461241974e-06,2.103509926937896957e+00,9.979100225745822783e-01
1.729878417968750000e+03,1.959056239689222010e-06,2.047188015538894845e+00,9.979868564951426269e-01
1.739470214843750000e+03,1.960251970635949524e-06,1.987401468202519172e+00,9.980615392445322254e-01
1.750189941406250000e+03,1.961731687427072380e-06,1.913415628646376598e+00,9.981419715723257591e-01
1.759894042968750000e+03,1.963346916095820441e-06,1.832654195208973436e+00,9.982121290953480663e-01
1.769652221679687500e+03,1.964775718818583255e-06,1.761214059070832727e+00,9.982802920844281447e-01
1.779464111328125000e+03,1.966384036498249382e-06,1.680798175087526491e+00,9.983464488163757977e-01
1.790429931640625000e+03,1.968085799984595436e-06,1.595710000770223624e+00,9.984176099226739209e-01
1.800357299804687500e+03,1.969739296312385111e-06,1.513035184380739917e+00,9.984796974423758575e-01
1.810339477539062500e+03,1.971874868804349704e-06,1.406256559782510296e+00,9.985398555324082048e-01
1.820377075195312500e+03,1.973714991723260373e-06,1.314250413836977049e+00,9.985982125123007425e-01
1.830470214843750000e+03,1.976926440886738740e-06,1.153677955663058530e+00,9.986547638557486950e-01
1.839488769531250000e+03,1.978822344510734358e-06,1.058882774463277610e+00,9.987035173377740715e-01
1.849687744140625000e+03,1.981008626242150541e-06,9.495686878924683993e-01,9.987568038241536605e-01
1.859943481445312500e+03,1.983346788303572403e-06,8.326605848213753935e-01,9.988083662248181671e-01
1.870255859375000000e+03,1.985740308229459529e-06,7.129845885270190697e-01,9.988582926590198197e-01
1.879470458984375000e+03,1.988001804399496360e-06,5.999097800251775858e-01,9.989013079067377010e-01
1.889890991210937500e+03,1.990611829740701592e-06,4.694085129649159249e-01,9.989481680811879150e-01
1.900369384765625000e+03,1.993379960826632569e-06,3.310019586683670134e-01,9.989934913938419703e-01
1.909732177734375000e+03,1.995942481758944979e-06,2.028759120527465487e-01,9.990325094240292136e-01
1.920320678710937500e+03,1.998948278194958228e-06,5.258609025208407783e-02,9.990749903906658291e-01
1.929781616210937500e+03,2.001720150429813179e-06,8.600752149066349939e-02,9.991115002253923016e-01
1.940481201171875000e+03,2.005018656699088676e-06,2.509328349544383552e-01,9.991512343263087015e-01
1.950041748046875000e+03,2.008020618023888151e-06,4.010309011944120927e-01,9.991853907467509455e-01
1.959649169921875000e+03,2.011195221291752278e-06,5.597610645876184288e-01,9.992184243041956071e-01
1.970514160156250000e+03,2.014736895630456430e-06,7.368447815228260644e-01,9.992542575409428807e-01
1.980222290039062500e+03,2.018119101365052079e-06,9.059550682526085197e-01,9.992850588401186451e-01
1.989978393554687500e+03,2.021693661884390315e-06,1.084683094219520472e+00,9.993147819226805284e-01
1.999782470703125000e+03,2.025148554561650231e-06,1.257427728082516127e+00,9.993434765649912288e-01
2.009634765625000000e+03,2.028966161710616954e-06,1.448308085530852329e+00,9.993711981220264606e-01
2.019535644531250000e+03,2.033147450806848042e-06,1.657372540342406664e+00,9.993979138659888628e-01
2.029485229492187500e+03,2.037092598920258509e-06,1.854629946012930075e+00,9.994236506278820764e-01
2.039483886718750000e+03,2.041250501744964374e-06,2.062525087248223254e+00,9.994484056091677004e-01
2.049531494140625000e+03,2.045334905828264832e-06,2.266745291413246211e+00,9.994722544758074534e-01
2.059629150390625000e+03,2.049650505717270007e-06,2.482525285863505182e+00,9.994951694435214584e-01
2.069776123046875000e+03,2.054006686152961077e-06,2.700334307648058374e+00,9.995171686173823788e-01
2.079973144531250000e+03,2.058916197478514414e-06,2.945809873925725242e+00,9.995382864501315412e-01
2.090220214843750000e+03,2.063401820715588097e-06,3.170091035779408983e+00,9.995584877614516195e-01
2.100517822265625000e+03,2.067954330532785917e-06,3.397716526639301016e+00,9.995778078442102421e-01
2.109570068359375000e+03,2.073498576853863052e-06,3.674928842693157005e+00,9.995940434579244638e-01
2.119962890625000000e+03,2.078167554271655432e-06,3.908377713582776636e+00,9.996117777337722998e-01
2.130407226562500000e+03,2.082852973548967113e-06,4.142648677448359962e+00,9.996287165732641311e-01
2.139587890625000000e+03,2.086930267741360164e-06,4.346513387068013046e+00,9.996428344810236455e-01
2.150128906250000000e+03,2.091500106563131189e-06,4.575005328156564133e+00,9.996581655636156416e-01
2.159394287109375000e+03,2.095478743402782974e-06,4.773937170139152641e+00,9.996709640370043948e-01
2.170032714843750000e+03,2.099977814339991825e-06,4.998890716999595973e+00,9.996848729378811083e-01
2.179384277343750000e+03,2.103762065514683913e-06,5.188103275734199826e+00,9.996963520312679430e-01
2.190121093750000000e+03,2.108003403090683069e-06,5.400170154534158051e+00,9.997088206318414105e-01
2.199559082031250000e+03,2.111556015615147977e-06,5.577800780757403487e+00,9.997190819910256598e-01
2.210395263671875000e+03,2.115416313088353893e-06,5.770815654417699392e+00,9.997301583731760255e-01
2.219920654296875000e+03,2.118580635461677515e-06,5.929031773083880630e+00,9.997392335372211614e-01
2.229487060546875000e+03,2.121605289461703857e-06,6.080264473085198240e+00,9.997478152489182035e-01
2.240470458984375000e+03,2.124777131365961135e-06,6.238856568298061234e+00,9.997570031222945408e-01
2.250125488281250000e+03,2.127220526742403482e-06,6.361026337120179619e+00,9.997644447822646718e-01
